Namesch,Code,Gender,Date ,Math,English,Mhw ,Mcomp,Mgrade,MConseq,Ehw,Ecomp,Egrade,Econseq,Comments
9,0082,F,1/25/2016,2,1,7,,,2,1,5,,2,
9,0083,F,1/25/2016,2,1,7,,,2,1,3,,2,
9,0084,F,1/25/2016,2,1,7,,,2,1,2,,2,
9,0085,F,1/25/2016,2,1,7,,,2,5,,,2,
9,0086,F,1/25/2016,2,1,7,,,2,1,2,,2,
9,0087,F,1/25/2016,2,1,7,,,2,1,5,,2,
9,0088,F,1/25/2016,2,1,7,,,2,1,3,,2,
9,0089,F,1/25/2016,2,1,7,,,2,1,5,,2,
9,0090,M,1/25/2016,2,1,7,,,2,1,5,,2,
9,0091,M,1/25/2016,2,1,7,,,2,5,,,2,
9,0092,M,1/25/2016,2,1,7,,,2,1,2,,2,
9,0093,M,1/25/2016,2,1,7,,,2,1,3,,2,
9,0094,M,1/25/2016,2,1,7,,,2,1,3,,2,
9,0095,M,1/25/2016,2,1,7,,,2,1,3,,2,
9,0096,M,1/25/2016,2,1,7,,,2,1,1,,2,
9,0097,M,1/25/2016,2,1,7,,,2,1,2,,2,
9,0098,M,1/25/2016,2,1,7,,,2,1,1,,2,
9,0099,M,1/25/2016,2,1,7,,,2,5,,,2,
9,0100,M,1/25/2016,2,1,7,,,2,1,4,,2,
9,0101,M,1/25/2016,2,1,7,,,2,1,1,,2,
9,0102,M,1/25/2016,2,1,7,,,2,1,1,,2,
9,0103,M,1/25/2016,2,1,7,,,2,1,1,,2,
9,0104,F,1/25/2016,1,1,1,5,,2,1,5,,2,
9,0105,F,1/25/2016,1,1,1,5,,2,5,,,2,
9,0106,F,1/25/2016,1,1,1,5,,2,1,5,,2,
9,0107,F,1/25/2016,1,1,5,,,2,1,5,,2,
9,0108,F,1/25/2016,1,1,1,4,,2,1,4,,2,
9,0110,F,1/25/2016,1,1,1,5,,2,1,4,,2,
9,0111,F,1/25/2016,1,1,1,5,,2,1,4,,2,
9,0112,F,1/25/2016,1,1,1,5,,2,1,5,,2,
9,0113,F,1/25/2016,1,1,1,5,,2,1,5,,2,
9,0114,F,1/25/2016,1,1,1,5,,2,1,5,,2,
9,0115,F,1/25/2016,1,1,1,4,,2,1,5,,2,
9,0116,F,1/25/2016,1,1,1,5,,2,1,5,,2,
9,0117,F,1/25/2016,1,1,6,,,2,6,,,2,
9,0118,M,1/25/2016,1,1,5,,,2,1,5,,2,
9,0119,M,1/25/2016,1,1,5,,,2,1,4,,2,
9,0120,M,1/25/2016,1,1,5,,,2,1,4,,2,
9,0121,M,1/25/2016,1,1,5,,,2,1,5,,2,
9,0122,M,1/25/2016,1,1,1,5,,2,1,4,,2,
9,0123,M,1/25/2016,1,1,1,4,,2,1,4,,2,
9,0124,M,1/25/2016,1,1,1,4,,2,1,5,,2,
9,0125,M,1/25/2016,1,1,1,5,,2,5,,,2,
9,0126,M,1/25/2016,1,1,1,4,,2,1,5,,2,
9,0127,M,1/25/2016,1,1,1,4,,2,5,,,2,
9,0128,M,1/25/2016,1,1,1,5,,2,1,5,,2,
9,0082,F,1/26/2016,1,2,1,5,,2,7,,,2,
9,0083,F,1/26/2016,1,2,1,5,,2,7,,,2,
9,0084,F,1/26/2016,1,2,1,5,,2,7,,,2,
9,0085,F,1/26/2016,1,2,1,2,,2,7,,,2,
9,0086,F,1/26/2016,1,2,1,5,,2,7,,,2,
9,0087,F,1/26/2016,1,2,1,4,,2,7,,,2,
9,0088,F,1/26/2016,1,2,1,5,,2,7,,,2,
9,0089,F,1/26/2016,1,2,1,3,,2,7,,,2,
9,0090,M,1/26/2016,1,2,1,5,,2,7,,,2,
9,0091,M,1/26/2016,1,2,1,5,,2,7,,,2,
9,0092,M,1/26/2016,1,2,1,3,,2,7,,,2,
9,0093,M,1/26/2016,1,2,5,,,2,7,,,2,
9,0094,M,1/26/2016,1,2,1,4,,2,7,,,2,
9,0095,M,1/26/2016,1,2,1,5,,2,7,,,2,
9,0096,M,1/26/2016,1,2,1,5,,2,7,,,2,
9,0097,M,1/26/2016,1,2,1,3,,2,7,,,2,
9,0098,M,1/26/2016,1,2,1,5,,2,7,,,2,
9,0099,M,1/26/2016,1,2,5,,,2,7,,,2,
9,0100,M,1/26/2016,1,2,1,1,,2,7,,,2,
9,0101,M,1/26/2016,1,2,6,,,2,7,,,2,
9,0102,M,1/26/2016,1,2,1,1,,2,7,,,2,
9,0103,M,1/26/2016,1,2,1,3,,2,7,,,2,
9,0104,F,1/26/2016,1,1,1,4,,2,1,5,,2,
9,0105,F,1/26/2016,1,1,1,5,,2,1,4,,2,
9,0106,F,1/26/2016,1,1,1,4,,2,1,5,,2,
9,0107,F,1/26/2016,1,1,1,5,,2,1,5,,2,
9,0108,F,1/26/2016,1,1,1,5,,2,1,5,,2,
9,0110,F,1/26/2016,1,1,1,5,,2,1,4,,2,
9,0111,F,1/26/2016,1,1,1,5,,2,1,4,,2,
9,0112,F,1/26/2016,1,1,6,,,2,6,,,2,
9,0113,F,1/26/2016,1,1,1,5,,2,1,4,,2,
9,0114,F,1/26/2016,1,1,6,,,2,6,,,2,
9,0115,F,1/26/2016,1,1,1,5,,2,1,5,,2,
9,0116,F,1/26/2016,1,1,1,6,,2,1,5,,2,
9,0117,F,1/26/2016,1,1,5,,,2,1,7,,2,
9,0118,M,1/26/2016,1,1,1,5,,2,1,4,,1,Came without the assignment. Did it during break
9,0119,M,1/26/2016,1,1,1,5,,2,1,5,,2,
9,0120,M,1/26/2016,1,1,1,5,,2,1,5,,2,
9,0121,M,1/26/2016,1,1,1,5,,2,1,4,,2,
9,0122,M,1/26/2016,1,1,1,5,,2,1,5,,2,
9,0123,M,1/26/2016,1,1,1,5,,2,1,4,,2,
9,0124,M,1/26/2016,1,1,6,,,2,6,,,2,
9,0125,M,1/26/2016,1,1,5,,,2,1,5,,2,
9,0126,M,1/26/2016,1,1,1,5,,2,1,1,,1,referred to principal
9,0127,M,1/26/2016,1,1,1,5,,2,1,3,,2,Detention during break
9,0128,M,1/26/2016,1,1,1,4,,2,1,5,,2,
9,0082,F,1/27/2016,2,1,7,,,2,1,5,,2,
9,0083,F,1/27/2016,2,1,7,,,2,1,5,,2,
9,0084,F,1/27/2016,2,1,7,,,2,1,5,,2,
9,0085,F,1/27/2016,2,1,7,,,2,1,3,,2,
9,0086,F,1/27/2016,2,1,7,,,2,1,5,,2,
9,0087,F,1/27/2016,2,1,7,,,2,1,5,,2,
9,0088,F,1/27/2016,2,1,7,,,2,1,5,,2,
9,0089,F,1/27/2016,2,1,7,,,2,6,,,2,
9,0090,M,1/27/2016,2,1,7,,,2,1,5,,2,
9,0091,M,1/27/2016,2,1,7,,,2,1,1,,2,
9,0092,M,1/27/2016,2,1,7,,,2,1,5,,2,
9,0093,M,1/27/2016,2,1,7,,,2,1,5,,2,
9,0094,M,1/27/2016,2,1,7,,,2,1,3,,2,
9,0095,M,1/27/2016,2,1,7,,,2,1,5,,2,
9,0096,M,1/27/2016,2,1,7,,,2,1,5,,2,
9,0097,M,1/27/2016,2,1,7,,,2,1,5,,2,
9,0098,M,1/27/2016,2,1,7,,,2,1,5,,2,
9,0099,M,1/27/2016,2,1,7,,,2,1,5,,2,
9,0100,M,1/27/2016,2,1,7,,,2,5,,,2,
9,0101,M,1/27/2016,2,1,7,,,2,1,2,,2,
9,0102,M,1/27/2016,2,1,7,,,2,1,5,,2,
