Namesch,Code,Gender,Date ,Math,English,Mhw ,Mcomp,Mgrade,MConseq,Ehw,Ecomp,Egrade,Econseq,Comments
1,1,f,1/25/2016,1,1,1,5,,2,1,3,,2,
1,2,f,1/25/2016,1,1,4,3,,2,5,3,,1,
1,3,f,1/25/2016,1,1,1,4,,2,5,3,,1,
1,4,f,1/25/2016,1,1,1,3,,2,1,3,,2,
1,5,f,1/25/2016,1,1,1,4,,2,1,3,,2,
1,6,f,1/25/2016,1,1,3,3,,2,5,3,,1,
1,7,m,1/25/2016,1,1,3,4,,2,2,3,,1,
1,8,m,1/25/2016,1,1,3,4,,2,2,3,,1,
1,9,m,1/25/2016,1,1,4,3,,2,5,3,,1,Parent keeps completing the homework for this pupil
1,10,m,1/25/2016,1,1,1,3,,2,1,3,,2,
1,11,m,1/25/2016,1,1,1,5,,2,1,3,,2,
1,12,m,1/25/2016,1,1,1,3,,2,5,3,,1,
1,13,f,1/25/2016,1,1,1,3,,2,1,4,,2,
1,14,f,1/25/2016,1,1,1,2,,2,1,4,,2,
1,15,f,1/25/2016,1,1,1,3,,2,1,4,,2,
1,16,f,1/25/2016,1,1,1,3,,2,1,4,,2,
1,17,f,1/25/2016,1,1,5,6,,1,1,4,,2,Verbal Warning
1,18,f,1/25/2016,1,1,1,4,,2,1,5,,2,
1,19,f,1/25/2016,1,1,1,4,,2,1,5,,2,
1,20,m,1/25/2016,1,1,1,3,,2,1,4,,2,
1,21,m,1/25/2016,1,1,1,5,,2,1,5,,2,
1,22,m,1/25/2016,1,1,1,3,,2,2,4,,2,
1,23,m,1/25/2016,2,2,6,3,,2,6,6,,2,
1,24,m,1/25/2016,1,1,1,4,,2,2,4,,2,
1,25,m,1/25/2016,1,1,1,2,,2,1,2,,2,
1,26,m,1/25/2016,1,1,1,4,,2,1,4,,2,
1,27,m,1/25/2016,1,1,1,3,,2,1,4,,2,
1,28,m,1/25/2016,1,1,1,2,,2,2,1,,2,
1,29,m,1/25/2016,1,1,1,6,,1,2,1,,2,Beaten
1,30,m,1/25/2016,1,1,1,6,,1,1,4,,2,Beaten
1,1,f,1/26/2016,1,1,1,5,,2,1,4,,2,Pupils are trying really hard to complete their homework correctly.
1,2,f,1/26/2016,1,1,1,5,,2,1,4,,2,
1,3,f,1/26/2016,1,1,1,5,,2,1,4,,2,
1,4,f,1/26/2016,1,1,1,5,,2,1,4,,2,
1,5,f,1/26/2016,1,1,1,5,,2,1,4,,2,
1,6,f,1/26/2016,1,1,1,5,,2,1,4,,2,
1,7,m,1/26/2016,1,1,1,5,,2,1,4,,2,
1,8,m,1/26/2016,1,1,1,5,,2,4,4,,1,
1,9,m,1/26/2016,1,1,1,5,,2,1,4,,2,
1,10,m,1/26/2016,1,1,1,5,,2,1,4,,2,
1,11,m,1/26/2016,1,1,1,5,,2,1,4,,2,
1,12,m,1/26/2016,1,1,1,5,,2,1,4,,2,
1,13,f,1/26/2016,2,2,7,,,,7,,,,
1,14,f,1/26/2016,2,2,7,,,,7,,,,
1,15,f,1/26/2016,2,2,7,,,,7,,,,
1,16,f,1/26/2016,2,2,7,,,,7,,,,
1,17,f,1/26/2016,2,2,7,,,,7,,,,
1,18,f,1/26/2016,2,2,7,,,,7,,,,
