Namesch,Code,GRADE,Gender,Date ,Math,English,Mhw ,Mcomp,Mgrade,MConseq,Ehw,Ecomp,Egrade,Econseq,Comments
6,0031,0002,F,1/25/2016,1,1,1,4,,2,1,4,,2,
6,0032,0002,F,1/25/2016,1,1,1,4,,2,1,4,,2,
6,0033,0002,F,1/25/2016,1,1,1,4,,2,1,4,,2,
6,0034,0002,F,1/25/2016,1,1,1,4,,2,1,4,,2,
6,0035,0002,F,1/25/2016,1,1,1,4,,2,1,4,,2,
6,0036,0002,M,1/25/2016,1,1,5,,,2,5,,,2,Left books home
6,0037,0002,M,1/25/2016,1,1,5,,,2,5,,,2,Left books home
6,0038,0002,M,1/25/2016,1,1,5,,,2,5,,,2,Left books home
6,0039,0002,M,1/25/2016,1,1,2,1,,2,1,4,,2,
6,0040,0002,M,1/25/2016,1,1,5,,,2,1,3,,2,Left books home
6,0041,0002,M,1/25/2016,1,1,5,,,2,5,,,2,Left books home
6,0042,0002,M,1/25/2016,1,1,1,4,,2,1,4,,2,
6,0043,4,F,1/25/2016,1,1,5,,,2,5,,,2,
6,0044,4,F,1/25/2016,1,1,1,,D,2,1,,C,2,
6,0045,4,F,1/25/2016,1,1,1,,D,2,1,,C,2,
6,0046,4,M,1/25/2016,1,1,5,,,2,5,,,2,
6,0047,4,M,1/25/2016,1,1,1,,A,2,1,,A,2,
6,0048,4,M,1/25/2016,1,1,1,,A,2,1,,A,2,
6,0049,4,M,1/25/2016,1,1,5,,,2,5,,,2,
6,0050,4,M,1/25/2016,1,1,1,,D,2,1,,C,2,
6,0051,4,M,1/25/2016,1,1,5,,,2,5,,,2,
6,0052,4,M,1/25/2016,1,1,1,,A,2,1,,A,2,
6,0053,4,M,1/25/2016,1,1,1,,A,2,1,,A,2,
6,0054,4,M,1/25/2016,1,1,1,,A,2,1,,A,2,
6,0055,4,M,1/25/2016,1,1,1,,A,2,1,,A,2,
6,0056,4,M,1/25/2016,1,1,5,,,2,5,,,2,
6,0057,4,M,1/25/2016,1,1,1,,C,2,1,,A,2,
6,0031,0002,F,1/26/2016,1,2,1,4,,2,7,,,2,
6,0032,0002,F,1/26/2016,1,2,1,4,,2,7,,,2,
6,0033,0002,F,1/26/2016,1,2,1,4,,2,7,,,2,
