Namesch,Code,Gender,Date ,Math,English,Mhw ,Mcomp,Mgrade,MConseq,Ehw,Ecomp,Egrade,Econseq,Comments
2,0058,F,1/25/2016,2,2,7,,,2,7,,,2,
2,0059,F,1/25/2016,2,2,7,,,2,7,,,2,
2,0060,F,1/25/2016,2,2,7,,,2,7,,,2,
2,0061,F,1/25/2016,2,2,7,,,2,7,,,2,
2,0062,F,1/25/2016,2,2,7,,,2,7,,,2,
2,0063,M,1/25/2016,2,2,7,,,2,7,,,2,
2,0064,M,1/25/2016,2,2,7,,,2,7,,,2,
2,0065,M,1/25/2016,2,2,7,,,2,7,,,2,
2,0066,M,1/25/2016,2,2,7,,,2,7,,,2,
2,0067,M,1/25/2016,2,2,7,,,2,7,,,2,
2,0068,M,1/25/2016,2,2,7,,,2,7,,,2,
2,0069,M,1/25/2016,2,2,7,,,2,7,,,2,
2,0070,F,1/25/2016,1,1,1,5,,2,4,,,2,
2,0071,F,1/25/2016,1,1,1,2,,2,2,,,2,
2,0072,F,1/25/2016,1,1,1,2,,2,3,,,2,
2,0073,F,1/25/2016,1,1,1,2,,2,3,,,2,
2,0074,F,1/25/2016,1,1,1,4,,2,3,,,2,
2,0075,F,1/25/2016,1,1,1,3,,2,3,,,2,
2,0076,M,1/25/2016,1,1,6,,,2,6,,,2,
2,0077,M,1/25/2016,1,1,1,1,,2,2,,,2,
2,0078,M,1/25/2016,1,1,1,1,,2,2,,,2,
2,0079,M,1/25/2016,1,1,1,1,,2,2,,,2,
2,0080,M,1/25/2016,1,1,1,1,,2,2,,,2,
2,0081,M,1/25/2016,1,1,1,1,,2,2,,,2,
2,0058,F,1/26/2016,1,1,1,1,,1,1,1,,1,No help at home
2,0059,F,1/26/2016,1,1,1,3,,2,1,3,,1,
2,0060,F,1/26/2016,1,1,2,2,,1,2,2,,2,Can do work but do not apply 
2,0061,F,1/26/2016,1,1,1,4,,2,1,4,,1,
2,0062,F,1/26/2016,1,1,2,3,,1,2,3,,1,
2,0063,M,1/26/2016,1,1,2,2,,1,2,2,,1,Below grade/ Spanish Background
2,0064,M,1/26/2016,1,1,2,2,,1,2,2,,1,No books
2,0065,M,1/26/2016,1,1,6,,,2,6,,,2,Absent often
2,0066,M,1/26/2016,1,1,2,2,,2,2,2,,2,
2,0067,M,1/26/2016,1,1,1,4,,2,1,4,,2,
2,0068,M,1/26/2016,1,1,1,4,,2,1,4,,2,
2,0069,M,1/26/2016,1,1,1,4,,2,1,4,,2,
2,0070,F,1/26/2016,1,1,1,5,,2,1,4,,2,
2,0071,F,1/26/2016,1,1,1,2,,2,1,2,,2,
2,0072,F,1/26/2016,1,1,1,2,,2,1,3,,2,
2,0073,F,1/26/2016,1,1,1,2,,2,1,3,,2,
2,0074,F,1/26/2016,1,1,1,4,,2,1,3,,2,
2,0075,F,1/26/2016,1,1,1,3,,2,1,3,,2,
2,0076,M,1/26/2016,1,1,6,,,2,6,,,2,
