Namesch,Code,Gender,Date ,Math,English,Mhw ,Mcomp,Mgrade,MConseq,Ehw,Ecomp,Egrade,Comments 
7,0129,F,1/25/2016,1,1,5,,,1,5,,,
7,0130,F,1/25/2016,1,1,1,4,,2,1,4,,
7,0131,F,1/25/2016,1,1,5,,,1,5,,,
7,0132,F,1/25/2016,1,1,1,3,,2,5,,,
7,0133,F,1/25/2016,1,1,5,,,1,5,,,
7,0134,F,1/25/2016,1,1,1,4,,2,1,4,,
7,0135,F,1/25/2016,1,1,5,,,1,5,,,
7,0136,F,1/25/2016,1,1,5,,,1,5,,,
7,0137,M,1/25/2016,1,1,1,4,,2,1,4,,
7,0138,M,1/25/2016,1,1,5,,,1,5,,,
7,0139,M,1/25/2016,1,1,1,4,,2,1,4,,
7,0140,M,1/25/2016,1,1,5,,,1,1,4,,
7,0141,M,1/25/2016,1,1,5,,,1,1,4,,
7,0142,M,1/25/2016,1,1,5,,,1,5,,,
7,0143,M,1/25/2016,1,1,5,,,1,1,4,,
7,0144,M,1/25/2016,1,1,1,4,,2,1,3,,
7,0145,M,1/25/2016,1,1,1,4,,2,1,4,,
7,0146,M,1/25/2016,1,1,1,4,,2,1,5,,
7,0147,M,1/25/2016,1,1,1,4,,2,1,4,,
7,0148,M,1/25/2016,1,1,1,3,,2,5,,,
7,0149,F,1/25/2016,2,2,7,,,2,7,,,
7,0150,F,1/25/2016,2,2,7,,,2,7,,,
7,0151,F,1/25/2016,2,2,7,,,2,7,,,
7,0152,F,1/25/2016,2,2,7,,,2,7,,,
7,0153,F,1/25/2016,2,2,7,,,2,7,,,
7,0154,F,1/25/2016,2,2,7,,,2,7,,,
7,0155,F,1/25/2016,2,2,7,,,2,7,,,
7,0156,F,1/25/2016,2,2,7,,,2,7,,,
7,0157,F,1/25/2016,2,2,7,,,2,7,,,
7,0158,F,1/25/2016,2,2,7,,,2,7,,,
7,0159,F,1/25/2016,2,2,7,,,2,7,,,
7,0160,M,1/25/2016,2,2,7,,,2,7,,,
7,0161,M,1/25/2016,2,2,7,,,2,7,,,
7,0162,M,1/25/2016,2,2,7,,,2,7,,,
7,0163,M,1/25/2016,2,2,7,,,2,7,,,
7,0164,M,1/25/2016,2,2,7,,,2,7,,,
7,0165,M,1/25/2016,2,2,7,,,2,7,,,
7,0166,M,1/25/2016,2,2,7,,,2,7,,,
7,0167,M,1/25/2016,2,2,7,,,2,7,,,
7,0129,F,1/26/2016,1,1,1,3,,2,5,,,
7,0130,F,1/26/2016,1,1,1,5,,2,1,4,,
7,0131,F,1/26/2016,1,1,5,,,1,5,,,
7,0132,F,1/26/2016,1,1,1,4,,2,1,3,,
7,0133,F,1/26/2016,1,1,1,4,,2,1,3,,
7,0134,F,1/26/2016,1,1,5,,,1,1,5,,
7,0135,F,1/26/2016,1,1,1,3,,2,1,3,,
7,0136,F,1/26/2016,1,1,5,,,1,1,3,,
7,0137,M,1/26/2016,1,1,5,,,1,1,5,,
7,0138,M,1/26/2016,1,1,1,2,,2,5,,,
7,0139,M,1/26/2016,1,1,1,5,,2,1,4,,
7,0140,M,1/26/2016,1,1,1,4,,2,1,5,,
7,0141,M,1/26/2016,1,1,5,,,1,1,4,,
7,0142,M,1/26/2016,1,1,5,,,1,5,,,
7,0143,M,1/26/2016,1,1,1,5,,2,5,,,
7,0144,M,1/26/2016,1,1,1,4,,2,1,4,,
7,0145,M,1/26/2016,1,1,1,5,,2,1,5,,
7,0146,M,1/26/2016,1,1,1,5,,2,1,5,,
7,0147,M,1/26/2016,1,1,1,3,,2,1,3,,
7,0148,M,1/26/2016,1,1,1,3,,2,1,3,,
7,0149,F,1/26/2016,2,2,7,,,2,7,,,
7,0150,F,1/26/2016,2,2,7,,,2,7,,,
7,0151,F,1/26/2016,2,2,7,,,2,7,,,
7,0152,F,1/26/2016,2,2,7,,,2,7,,,
7,0153,F,1/26/2016,2,2,7,,,2,7,,,
7,0154,F,1/26/2016,2,2,7,,,2,7,,,
7,0155,F,1/26/2016,2,2,7,,,2,7,,,
